time_point,group,subject,task,rank,observer,session,sick_severity,cogn,sex,rearing,age,time_in_leipzig,le_present,le_mean,le_max,dist_present,dist_mean,dist_max,time_outdoors,sociality
1,a_chimp,azibo,causality,12,yes,1,NA,11,m,mother,5.347022587268994,5.347022587268994,no,0,0,no,0,0,7.4375,0.022113090349957818
1,a_chimp,azibo,gaze_following,12,yes,1,NA,0,m,mother,5.347022587268994,5.347022587268994,no,0,0,no,0,0,7.4375,0.022113090349957818
1,a_chimp,azibo,inference,12,yes,1,NA,5,m,mother,5.347022587268994,5.347022587268994,no,0,0,no,0,0,7.4375,0.022113090349957818
1,a_chimp,corrie,causality,9,yes,1,0,5,f,hand,43.68514715947981,19.471594798083505,no,0,0,no,0,0,7.4375,0.031353907183610655
1,a_chimp,corrie,gaze_following,9,yes,1,0,2,f,hand,43.68514715947981,19.471594798083505,no,0,0,no,0,0,7.4375,0.031353907183610655
1,a_chimp,corrie,inference,9,yes,1,0,6,f,hand,43.68514715947981,19.471594798083505,no,0,0,no,0,0,7.4375,0.031353907183610655
1,a_chimp,dorien,causality,8,no,1,NA,3,f,hand,39.82203969883641,19.468856947296374,no,0,0,no,0,0,7.4375,-0.03873799870037446
1,a_chimp,dorien,gaze_following,8,no,1,NA,0,f,hand,39.82203969883641,19.468856947296374,no,0,0,no,0,0,7.4375,-0.03873799870037446
1,a_chimp,dorien,gaze_following,8,no,2,0,1,f,hand,39.82203969883641,19.468856947296374,no,0,0,no,0,0,7.4375,-0.03873799870037446
1,a_chimp,dorien,inference,8,no,1,NA,10,f,hand,39.82203969883641,19.468856947296374,no,0,0,no,0,0,7.4375,-0.03873799870037446
1,a_chimp,dorien,quantity,8,no,2,0,11,f,hand,39.82203969883641,19.468856947296374,no,0,0,no,0,0,7.4375,-0.03873799870037446
1,a_chimp,fraukje,causality,11,yes,1,NA,12,f,hand,44.3668720054757,19.468856947296374,no,0,0,no,0,0,7.4375,0.00659665097652885
1,a_chimp,fraukje,gaze_following,11,yes,1,NA,0,f,hand,44.3668720054757,19.468856947296374,no,0,0,no,0,0,7.4375,0.00659665097652885
1,a_chimp,fraukje,inference,11,yes,1,NA,6,f,hand,44.3668720054757,19.468856947296374,no,0,0,no,0,0,7.4375,0.00659665097652885
1,a_chimp,frodo,causality,1,no,1,NA,6,m,mother,26.72142368240931,19.468856947296374,no,0,0,no,0,0,7.4375,0.011589838536492392
1,a_chimp,frodo,gaze_following,1,no,1,NA,0,m,mother,26.72142368240931,19.468856947296374,no,0,0,no,0,0,7.4375,0.011589838536492392
1,a_chimp,frodo,gaze_following,1,no,2,0,1,m,mother,26.72142368240931,19.468856947296374,no,0,0,no,0,0,7.4375,0.011589838536492392
1,a_chimp,frodo,inference,1,no,1,NA,8,m,mother,26.72142368240931,19.468856947296374,no,0,0,no,0,0,7.4375,0.011589838536492392
1,a_chimp,frodo,quantity,1,no,2,0,11,m,mother,26.72142368240931,19.468856947296374,no,0,0,no,0,0,7.4375,0.011589838536492392
1,a_chimp,kisha,causality,7,yes,1,NA,8,f,mother,16.45722108145106,6.913073237508556,no,0,0,no,0,0,7.4375,0.03839616062821587
1,a_chimp,kisha,gaze_following,7,yes,1,NA,2,f,mother,16.45722108145106,6.913073237508556,no,0,0,no,0,0,7.4375,0.03839616062821587
1,a_chimp,kisha,inference,7,yes,1,NA,4,f,mother,16.45722108145106,6.913073237508556,no,0,0,no,0,0,7.4375,0.03839616062821587
1,a_chimp,natascha,causality,5,yes,1,NA,4,f,hand,40.39151266255989,19.468856947296374,no,0,0,no,0,0,7.4375,-0.004628670356664746
1,a_chimp,natascha,gaze_following,5,yes,1,NA,4,f,hand,40.39151266255989,19.468856947296374,no,0,0,no,0,0,7.4375,-0.004628670356664746
1,a_chimp,natascha,gaze_following,5,yes,2,0,0,f,hand,40.39151266255989,19.468856947296374,no,0,0,no,0,0,7.4375,-0.004628670356664746
1,a_chimp,natascha,inference,5,yes,1,NA,7,f,hand,40.39151266255989,19.468856947296374,no,0,0,no,0,0,7.4375,-0.004628670356664746
1,a_chimp,natascha,quantity,5,yes,2,0,6,f,hand,40.39151266255989,19.468856947296374,no,0,0,no,0,0,7.4375,-0.004628670356664746
1,a_chimp,riet,causality,3,no,1,NA,8,f,hand,42.76796714579056,19.468856947296374,no,0,0,no,0,0,7.4375,-0.040102092830123476
1,a_chimp,riet,gaze_following,3,no,1,NA,4,f,hand,42.76796714579056,19.468856947296374,no,0,0,no,0,0,7.4375,-0.040102092830123476
1,a_chimp,riet,gaze_following,3,no,2,0,4,f,hand,42.76796714579056,19.468856947296374,no,0,0,no,0,0,7.4375,-0.040102092830123476
1,a_chimp,riet,inference,3,no,1,NA,8,f,hand,42.76796714579056,19.468856947296374,no,0,0,no,0,0,7.4375,-0.040102092830123476
1,a_chimp,riet,quantity,3,no,2,0,8,f,hand,42.76796714579056,19.468856947296374,no,0,0,no,0,0,7.4375,-0.040102092830123476
1,a_chimp,robert,causality,2,no,1,NA,3,m,hand,44.714579055441476,19.468856947296374,no,0,0,no,0,0,7.4375,-0.03818877015473646
1,a_chimp,robert,gaze_following,2,no,1,NA,0,m,hand,44.714579055441476,19.468856947296374,no,0,0,no,0,0,7.4375,-0.03818877015473646
1,a_chimp,robert,inference,2,no,1,NA,6,m,hand,44.714579055441476,19.468856947296374,no,0,0,no,0,0,7.4375,-0.03818877015473646
1,a_chimp,sandra,causality,11,no,1,NA,12,f,mother,27.19233401779603,19.468856947296374,no,0,0,no,0,0,7.4375,0.0015081170198412283
1,a_chimp,sandra,gaze_following,11,no,1,NA,4,f,mother,27.19233401779603,19.468856947296374,no,0,0,no,0,0,7.4375,0.0015081170198412283
1,a_chimp,sandra,gaze_following,11,no,2,0,4,f,mother,27.19233401779603,19.468856947296374,no,0,0,no,0,0,7.4375,0.0015081170198412283
1,a_chimp,sandra,inference,11,no,1,NA,11,f,mother,27.19233401779603,19.468856947296374,no,0,0,no,0,0,7.4375,0.0015081170198412283
1,a_chimp,sandra,quantity,11,no,2,0,8,f,mother,27.19233401779603,19.468856947296374,no,0,0,no,0,0,7.4375,0.0015081170198412283
1,a_chimp,shanga,causality,NA,no,1,NA,8,f,mother,9.462012320328542,0.6899383983572895,no,0,0,no,0,0,7.4375,0.018228984374391043
1,a_chimp,shanga,gaze_following,NA,no,1,NA,4,f,mother,9.462012320328542,0.6899383983572895,no,0,0,no,0,0,7.4375,0.018228984374391043
