"files"	"paramHeader"	"param"	"population"	"average"	"average_se"	"population_sd"	"mse"	"cover_95"	"kind"	"peb"	"seb"	"bias"	"abs_bias"	"abs_diff_sd_se"	"diff_sd_se"	"ratio_sd_se"
"Latent State 2 constructs T 9 free S var"	"SX2.WITH"	"SX4"	2.699	2.3974	0.7184	0.6769	0.5488	0.912	"S covariance"	0.1117	0.0613	-0.3016	0.3016	0.0415	0.0415	1.0613
"Latent State 2 constructs T 9 free S var"	"SX2.WITH"	"SX5"	2.889	2.5484	0.7578	0.7255	0.642	0.91	"S covariance"	0.1179	0.0445	-0.3406	0.3406	0.0323	0.0323	1.0445
"Latent State 2 constructs T 9 free S var"	"SX2.WITH"	"SX6"	2.919	2.569	0.7808	0.7617	0.7022	0.91	"S covariance"	0.1199	0.0251	-0.35	0.35	0.0191	0.0191	1.0251
"Latent State 2 constructs T 9 free S var"	"SX2.WITH"	"SX7"	2.918	2.5962	0.79	0.765	0.6883	0.917	"S covariance"	0.1103	0.0327	-0.3218	0.3218	0.025	0.025	1.0327
"Latent State 2 constructs T 9 free S var"	"SX2.WITH"	"SX8"	2.968	2.6365	0.8102	0.7766	0.7124	0.913	"S covariance"	0.1117	0.0433	-0.3315	0.3315	0.0336	0.0336	1.0433
"Latent State 2 constructs T 9 free S var"	"SX2.WITH"	"SX9"	2.928	2.607	0.7922	0.7765	0.7051	0.908	"S covariance"	0.1096	0.0202	-0.321	0.321	0.0157	0.0157	1.0202
"Latent State 2 constructs T 9 free S var"	"SX3.WITH"	"SY1"	0.566	0.4426	0.4821	0.4522	0.2196	0.94	"S covariance"	0.218	0.0661	-0.1234	0.1234	0.0299	0.0299	1.0661
"Latent State 2 constructs T 9 free S var"	"SX3.WITH"	"SX4"	2.587	2.2592	0.69	0.6522	0.5323	0.908	"S covariance"	0.1267	0.058	-0.3278	0.3278	0.0378	0.0378	1.058
"Latent State 2 constructs T 9 free S var"	"SX3.WITH"	"SX5"	2.753	2.3858	0.7257	0.6853	0.6038	0.896	"S covariance"	0.1334	0.059	-0.3672	0.3672	0.0404	0.0404	1.059
"Latent State 2 constructs T 9 free S var"	"SX3.WITH"	"SX6"	2.86	2.5096	0.7602	0.7266	0.6504	0.906	"S covariance"	0.1225	0.0462	-0.3504	0.3504	0.0336	0.0336	1.0462
"Latent State 2 constructs T 9 free S var"	"SX3.WITH"	"SX7"	2.978	2.5995	0.7797	0.7412	0.6917	0.907	"S covariance"	0.1271	0.0519	-0.3785	0.3785	0.0385	0.0385	1.0519
"Latent State 2 constructs T 9 free S var"	"SX3.WITH"	"SX8"	2.887	2.5826	0.7891	0.7422	0.6429	0.913	"S covariance"	0.1054	0.0632	-0.3044	0.3044	0.0469	0.0469	1.0632
"Latent State 2 constructs T 9 free S var"	"SX3.WITH"	"SX9"	2.844	2.5387	0.7702	0.7439	0.6459	0.906	"S covariance"	0.1073	0.0354	-0.3053	0.3053	0.0263	0.0263	1.0354
"Latent State 2 constructs T 9 free S var"	"SX4.WITH"	"SY1"	0.153	0.1251	0.4829	0.4525	0.2053	0.934	"S covariance"	0.1824	0.0672	-0.0279	0.0279	0.0304	0.0304	1.0672
"Latent State 2 constructs T 9 free S var"	"SX4.WITH"	"SX5"	2.866	2.5179	0.7502	0.699	0.6094	0.913	"S covariance"	0.1215	0.0732	-0.3481	0.3481	0.0512	0.0512	1.0732
"Latent State 2 constructs T 9 free S var"	"SX4.WITH"	"SX6"	2.933	2.5885	0.7788	0.7396	0.6651	0.923	"S covariance"	0.1175	0.053	-0.3445	0.3445	0.0392	0.0392	1.053
"Latent State 2 constructs T 9 free S var"	"SX4.WITH"	"SX7"	2.992	2.6491	0.7935	0.7531	0.6844	0.913	"S covariance"	0.1146	0.0536	-0.3429	0.3429	0.0404	0.0404	1.0536
"Latent State 2 constructs T 9 free S var"	"SX4.WITH"	"SX8"	3.09	2.7112	0.817	0.7661	0.7299	0.914	"S covariance"	0.1226	0.0664	-0.3788	0.3788	0.0509	0.0509	1.0664
"Latent State 2 constructs T 9 free S var"	"SX4.WITH"	"SX9"	2.99	2.6513	0.7945	0.758	0.6891	0.916	"S covariance"	0.1133	0.0482	-0.3387	0.3387	0.0365	0.0365	1.0482
"Latent State 2 constructs T 9 free S var"	"SX5.WITH"	"SY1"	0.113	0.0652	0.5026	0.4582	0.2121	0.946	"S covariance"	0.423	0.0969	-0.0478	0.0478	0.0444	0.0444	1.0969
"Latent State 2 constructs T 9 free S var"	"SX5.WITH"	"SX6"	3.118	2.7278	0.8187	0.7855	0.7683	0.912	"S covariance"	0.1251	0.0423	-0.3902	0.3902	0.0332	0.0332	1.0423
"Latent State 2 constructs T 9 free S var"	"SX5.WITH"	"SX7"	3.137	2.7701	0.831	0.7882	0.755	0.908	"S covariance"	0.117	0.0543	-0.3669	0.3669	0.0428	0.0428	1.0543
"Latent State 2 constructs T 9 free S var"	"SX5.WITH"	"SX8"	3.117	2.7797	0.8457	0.7872	0.7329	0.914	"S covariance"	0.1082	0.0743	-0.3373	0.3373	0.0585	0.0585	1.0743
