"files"	"paramHeader"	"param"	"population"	"average"	"average_se"	"population_sd"	"mse"	"cover_95"	"kind"	"peb"	"seb"	"bias"	"abs_bias"	"abs_diff_sd_se"	"diff_sd_se"	"ratio_sd_se"
"Latent State T 9 free S var 5 categ"	"Thresholds"	"Y12$3"	0.472	0.4839	0.2765	0.277	0.0768	0.941	"threshold"	0.0252	0.0018	0.0119	0.0119	5e-04	-5e-04	0.9982
"Latent State T 9 free S var 5 categ"	"Thresholds"	"Y12$4"	1.678	1.6761	0.2836	0.2855	0.0814	0.939	"threshold"	0.0011	0.0067	-0.0019	0.0019	0.0019	-0.0019	0.9933
"Latent State T 9 free S var 5 categ"	"Thresholds"	"Y22$1"	-2.124	-2.0677	0.2876	0.2909	0.0877	0.944	"threshold"	0.0265	0.0113	0.0563	0.0563	0.0033	-0.0033	0.9887
"Latent State T 9 free S var 5 categ"	"Thresholds"	"Y22$2"	-0.745	-0.7111	0.2771	0.278	0.0784	0.939	"threshold"	0.0455	0.0032	0.0339	0.0339	9e-04	-9e-04	0.9968
"Latent State T 9 free S var 5 categ"	"Thresholds"	"Y22$3"	0.472	0.4839	0.2765	0.277	0.0768	0.941	"threshold"	0.0252	0.0018	0.0119	0.0119	5e-04	-5e-04	0.9982
"Latent State T 9 free S var 5 categ"	"Thresholds"	"Y22$4"	1.678	1.6761	0.2836	0.2855	0.0814	0.939	"threshold"	0.0011	0.0067	-0.0019	0.0019	0.0019	-0.0019	0.9933
"Latent State T 9 free S var 5 categ"	"Thresholds"	"Y13$1"	-2.124	-2.0677	0.2876	0.2909	0.0877	0.944	"threshold"	0.0265	0.0113	0.0563	0.0563	0.0033	-0.0033	0.9887
"Latent State T 9 free S var 5 categ"	"Thresholds"	"Y13$2"	-0.745	-0.7111	0.2771	0.278	0.0784	0.939	"threshold"	0.0455	0.0032	0.0339	0.0339	9e-04	-9e-04	0.9968
"Latent State T 9 free S var 5 categ"	"Thresholds"	"Y13$3"	0.472	0.4839	0.2765	0.277	0.0768	0.941	"threshold"	0.0252	0.0018	0.0119	0.0119	5e-04	-5e-04	0.9982
"Latent State T 9 free S var 5 categ"	"Thresholds"	"Y13$4"	1.678	1.6761	0.2836	0.2855	0.0814	0.939	"threshold"	0.0011	0.0067	-0.0019	0.0019	0.0019	-0.0019	0.9933
"Latent State T 9 free S var 5 categ"	"Thresholds"	"Y23$1"	-2.124	-2.0677	0.2876	0.2909	0.0877	0.944	"threshold"	0.0265	0.0113	0.0563	0.0563	0.0033	-0.0033	0.9887
"Latent State T 9 free S var 5 categ"	"Thresholds"	"Y23$2"	-0.745	-0.7111	0.2771	0.278	0.0784	0.939	"threshold"	0.0455	0.0032	0.0339	0.0339	9e-04	-9e-04	0.9968
"Latent State T 9 free S var 5 categ"	"Thresholds"	"Y23$3"	0.472	0.4839	0.2765	0.277	0.0768	0.941	"threshold"	0.0252	0.0018	0.0119	0.0119	5e-04	-5e-04	0.9982
"Latent State T 9 free S var 5 categ"	"Thresholds"	"Y23$4"	1.678	1.6761	0.2836	0.2855	0.0814	0.939	"threshold"	0.0011	0.0067	-0.0019	0.0019	0.0019	-0.0019	0.9933
"Latent State T 9 free S var 5 categ"	"Thresholds"	"Y14$1"	-2.124	-2.0677	0.2876	0.2909	0.0877	0.944	"threshold"	0.0265	0.0113	0.0563	0.0563	0.0033	-0.0033	0.9887
"Latent State T 9 free S var 5 categ"	"Thresholds"	"Y14$2"	-0.745	-0.7111	0.2771	0.278	0.0784	0.939	"threshold"	0.0455	0.0032	0.0339	0.0339	9e-04	-9e-04	0.9968
"Latent State T 9 free S var 5 categ"	"Thresholds"	"Y14$3"	0.472	0.4839	0.2765	0.277	0.0768	0.941	"threshold"	0.0252	0.0018	0.0119	0.0119	5e-04	-5e-04	0.9982
"Latent State T 9 free S var 5 categ"	"Thresholds"	"Y14$4"	1.678	1.6761	0.2836	0.2855	0.0814	0.939	"threshold"	0.0011	0.0067	-0.0019	0.0019	0.0019	-0.0019	0.9933
"Latent State T 9 free S var 5 categ"	"Thresholds"	"Y24$1"	-2.124	-2.0677	0.2876	0.2909	0.0877	0.944	"threshold"	0.0265	0.0113	0.0563	0.0563	0.0033	-0.0033	0.9887
"Latent State T 9 free S var 5 categ"	"Thresholds"	"Y24$2"	-0.745	-0.7111	0.2771	0.278	0.0784	0.939	"threshold"	0.0455	0.0032	0.0339	0.0339	9e-04	-9e-04	0.9968
"Latent State T 9 free S var 5 categ"	"Thresholds"	"Y24$3"	0.472	0.4839	0.2765	0.277	0.0768	0.941	"threshold"	0.0252	0.0018	0.0119	0.0119	5e-04	-5e-04	0.9982
"Latent State T 9 free S var 5 categ"	"Thresholds"	"Y24$4"	1.678	1.6761	0.2836	0.2855	0.0814	0.939	"threshold"	0.0011	0.0067	-0.0019	0.0019	0.0019	-0.0019	0.9933
"Latent State T 9 free S var 5 categ"	"Thresholds"	"Y15$1"	-2.124	-2.0677	0.2876	0.2909	0.0877	0.944	"threshold"	0.0265	0.0113	0.0563	0.0563	0.0033	-0.0033	0.9887
"Latent State T 9 free S var 5 categ"	"Thresholds"	"Y15$2"	-0.745	-0.7111	0.2771	0.278	0.0784	0.939	"threshold"	0.0455	0.0032	0.0339	0.0339	9e-04	-9e-04	0.9968
"Latent State T 9 free S var 5 categ"	"Thresholds"	"Y15$3"	0.472	0.4839	0.2765	0.277	0.0768	0.941	"threshold"	0.0252	0.0018	0.0119	0.0119	5e-04	-5e-04	0.9982
"Latent State T 9 free S var 5 categ"	"Thresholds"	"Y15$4"	1.678	1.6761	0.2836	0.2855	0.0814	0.939	"threshold"	0.0011	0.0067	-0.0019	0.0019	0.0019	-0.0019	0.9933
"Latent State T 9 free S var 5 categ"	"Thresholds"	"Y25$1"	-2.124	-2.0677	0.2876	0.2909	0.0877	0.944	"threshold"	0.0265	0.0113	0.0563	0.0563	0.0033	-0.0033	0.9887
"Latent State T 9 free S var 5 categ"	"Thresholds"	"Y25$2"	-0.745	-0.7111	0.2771	0.278	0.0784	0.939	"threshold"	0.0455	0.0032	0.0339	0.0339	9e-04	-9e-04	0.9968
"Latent State T 9 free S var 5 categ"	"Thresholds"	"Y25$3"	0.472	0.4839	0.2765	0.277	0.0768	0.941	"threshold"	0.0252	0.0018	0.0119	0.0119	5e-04	-5e-04	0.9982
"Latent State T 9 free S var 5 categ"	"Thresholds"	"Y25$4"	1.678	1.6761	0.2836	0.2855	0.0814	0.939	"threshold"	0.0011	0.0067	-0.0019	0.0019	0.0019	-0.0019	0.9933
"Latent State T 9 free S var 5 categ"	"Thresholds"	"Y16$1"	-2.124	-2.0677	0.2876	0.2909	0.0877	0.944	"threshold"	0.0265	0.0113	0.0563	0.0563	0.0033	-0.0033	0.9887
"Latent State T 9 free S var 5 categ"	"Thresholds"	"Y16$2"	-0.745	-0.7111	0.2771	0.278	0.0784	0.939	"threshold"	0.0455	0.0032	0.0339	0.0339	9e-04	-9e-04	0.9968
"Latent State T 9 free S var 5 categ"	"Thresholds"	"Y16$3"	0.472	0.4839	0.2765	0.277	0.0768	0.941	"threshold"	0.0252	0.0018	0.0119	0.0119	5e-04	-5e-04	0.9982
"Latent State T 9 free S var 5 categ"	"Thresholds"	"Y16$4"	1.678	1.6761	0.2836	0.2855	0.0814	0.939	"threshold"	0.0011	0.0067	-0.0019	0.0019	0.0019	-0.0019	0.9933
"Latent State T 9 free S var 5 categ"	"Thresholds"	"Y26$1"	-2.124	-2.0677	0.2876	0.2909	0.0877	0.944	"threshold"	0.0265	0.0113	0.0563	0.0563	0.0033	-0.0033	0.9887
"Latent State T 9 free S var 5 categ"	"Thresholds"	"Y26$2"	-0.745	-0.7111	0.2771	0.278	0.0784	0.939	"threshold"	0.0455	0.0032	0.0339	0.0339	9e-04	-9e-04	0.9968
"Latent State T 9 free S var 5 categ"	"Thresholds"	"Y26$3"	0.472	0.4839	0.2765	0.277	0.0768	0.941	"threshold"	0.0252	0.0018	0.0119	0.0119	5e-04	-5e-04	0.9982
"Latent State T 9 free S var 5 categ"	"Thresholds"	"Y26$4"	1.678	1.6761	0.2836	0.2855	0.0814	0.939	"threshold"	0.0011	0.0067	-0.0019	0.0019	0.0019	-0.0019	0.9933
"Latent State T 9 free S var 5 categ"	"Thresholds"	"Y17$1"	-2.124	-2.0677	0.2876	0.2909	0.0877	0.944	"threshold"	0.0265	0.0113	0.0563	0.0563	0.0033	-0.0033	0.9887
"Latent State T 9 free S var 5 categ"	"Thresholds"	"Y17$2"	-0.745	-0.7111	0.2771	0.278	0.0784	0.939	"threshold"	0.0455	0.0032	0.0339	0.0339	9e-04	-9e-04	0.9968
"Latent State T 9 free S var 5 categ"	"Thresholds"	"Y17$3"	0.472	0.4839	0.2765	0.277	0.0768	0.941	"threshold"	0.0252	0.0018	0.0119	0.0119	5e-04	-5e-04	0.9982
"Latent State T 9 free S var 5 categ"	"Thresholds"	"Y17$4"	1.678	1.6761	0.2836	0.2855	0.0814	0.939	"threshold"	0.0011	0.0067	-0.0019	0.0019	0.0019	-0.0019	0.9933
"Latent State T 9 free S var 5 categ"	"Thresholds"	"Y27$1"	-2.124	-2.0677	0.2876	0.2909	0.0877	0.944	"threshold"	0.0265	0.0113	0.0563	0.0563	0.0033	-0.0033	0.9887
"Latent State T 9 free S var 5 categ"	"Thresholds"	"Y27$2"	-0.745	-0.7111	0.2771	0.278	0.0784	0.939	"threshold"	0.0455	0.0032	0.0339	0.0339	9e-04	-9e-04	0.9968
"Latent State T 9 free S var 5 categ"	"Thresholds"	"Y27$3"	0.472	0.4839	0.2765	0.277	0.0768	0.941	"threshold"	0.0252	0.0018	0.0119	0.0119	5e-04	-5e-04	0.9982
"Latent State T 9 free S var 5 categ"	"Thresholds"	"Y27$4"	1.678	1.6761	0.2836	0.2855	0.0814	0.939	"threshold"	0.0011	0.0067	-0.0019	0.0019	0.0019	-0.0019	0.9933
"Latent State T 9 free S var 5 categ"	"Thresholds"	"Y18$1"	-2.124	-2.0677	0.2876	0.2909	0.0877	0.944	"threshold"	0.0265	0.0113	0.0563	0.0563	0.0033	-0.0033	0.9887
"Latent State T 9 free S var 5 categ"	"Thresholds"	"Y18$2"	-0.745	-0.7111	0.2771	0.278	0.0784	0.939	"threshold"	0.0455	0.0032	0.0339	0.0339	9e-04	-9e-04	0.9968
"Latent State T 9 free S var 5 categ"	"Thresholds"	"Y18$3"	0.472	0.4839	0.2765	0.277	0.0768	0.941	"threshold"	0.0252	0.0018	0.0119	0.0119	5e-04	-5e-04	0.9982
"Latent State T 9 free S var 5 categ"	"Thresholds"	"Y18$4"	1.678	1.6761	0.2836	0.2855	0.0814	0.939	"threshold"	0.0011	0.0067	-0.0019	0.0019	0.0019	-0.0019	0.9933
"Latent State T 9 free S var 5 categ"	"Thresholds"	"Y28$1"	-2.124	-2.0677	0.2876	0.2909	0.0877	0.944	"threshold"	0.0265	0.0113	0.0563	0.0563	0.0033	-0.0033	0.9887
"Latent State T 9 free S var 5 categ"	"Thresholds"	"Y28$2"	-0.745	-0.7111	0.2771	0.278	0.0784	0.939	"threshold"	0.0455	0.0032	0.0339	0.0339	9e-04	-9e-04	0.9968
"Latent State T 9 free S var 5 categ"	"Thresholds"	"Y28$3"	0.472	0.4839	0.2765	0.277	0.0768	0.941	"threshold"	0.0252	0.0018	0.0119	0.0119	5e-04	-5e-04	0.9982
"Latent State T 9 free S var 5 categ"	"Thresholds"	"Y28$4"	1.678	1.6761	0.2836	0.2855	0.0814	0.939	"threshold"	0.0011	0.0067	-0.0019	0.0019	0.0019	-0.0019	0.9933
"Latent State T 9 free S var 5 categ"	"Thresholds"	"Y19$1"	-2.124	-2.0677	0.2876	0.2909	0.0877	0.944	"threshold"	0.0265	0.0113	0.0563	0.0563	0.0033	-0.0033	0.9887
"Latent State T 9 free S var 5 categ"	"Thresholds"	"Y19$2"	-0.745	-0.7111	0.2771	0.278	0.0784	0.939	"threshold"	0.0455	0.0032	0.0339	0.0339	9e-04	-9e-04	0.9968
"Latent State T 9 free S var 5 categ"	"Thresholds"	"Y19$3"	0.472	0.4839	0.2765	0.277	0.0768	0.941	"threshold"	0.0252	0.0018	0.0119	0.0119	5e-04	-5e-04	0.9982
"Latent State T 9 free S var 5 categ"	"Thresholds"	"Y19$4"	1.678	1.6761	0.2836	0.2855	0.0814	0.939	"threshold"	0.0011	0.0067	-0.0019	0.0019	0.0019	-0.0019	0.9933
"Latent State T 9 free S var 5 categ"	"Thresholds"	"Y29$1"	-2.124	-2.0677	0.2876	0.2909	0.0877	0.944	"threshold"	0.0265	0.0113	0.0563	0.0563	0.0033	-0.0033	0.9887
"Latent State T 9 free S var 5 categ"	"Thresholds"	"Y29$2"	-0.745	-0.7111	0.2771	0.278	0.0784	0.939	"threshold"	0.0455	0.0032	0.0339	0.0339	9e-04	-9e-04	0.9968
"Latent State T 9 free S var 5 categ"	"Thresholds"	"Y29$3"	0.472	0.4839	0.2765	0.277	0.0768	0.941	"threshold"	0.0252	0.0018	0.0119	0.0119	5e-04	-5e-04	0.9982
"Latent State T 9 free S var 5 categ"	"Thresholds"	"Y29$4"	1.678	1.6761	0.2836	0.2855	0.0814	0.939	"threshold"	0.0011	0.0067	-0.0019	0.0019	0.0019	-0.0019	0.9933
"Latent State T 9 free S var 5 categ"	"Variances"	"S1"	2.665	2.5181	0.8782	0.8067	0.6717	0.94	"S variance"	0.0551	0.0886	-0.1469	0.1469	0.0715	0.0715	1.0886
"Latent State T 9 free S var 5 categ"	"Variances"	"S2"	3.036	3.0015	1.0295	0.9616	0.9249	0.941	"S variance"	0.0114	0.0706	-0.0345	0.0345	0.0679	0.0679	1.0706
"Latent State T 9 free S var 5 categ"	"Variances"	"S3"	3.064	2.8273	0.9861	0.9315	0.9229	0.923	"S variance"	0.0773	0.0586	-0.2367	0.2367	0.0546	0.0546	1.0586
"Latent State T 9 free S var 5 categ"	"Variances"	"S4"	3.086	3.008	1.0328	0.9791	0.9637	0.941	"S variance"	0.0253	0.0548	-0.078	0.078	0.0537	0.0537	1.0548
"Latent State T 9 free S var 5 categ"	"Variances"	"S5"	3.492	3.4324	1.1798	1.1305	1.2802	0.934	"S variance"	0.0171	0.0436	-0.0596	0.0596	0.0493	0.0493	1.0436
"Latent State T 9 free S var 5 categ"	"Variances"	"S6"	3.61	3.4158	1.1781	1.1082	1.2646	0.93	"S variance"	0.0538	0.0631	-0.1942	0.1942	0.0699	0.0699	1.0631
"Latent State T 9 free S var 5 categ"	"Variances"	"S7"	3.928	3.8051	1.3116	1.2204	1.5029	0.945	"S variance"	0.0313	0.0747	-0.1229	0.1229	0.0912	0.0912	1.0747
"Latent State T 9 free S var 5 categ"	"Variances"	"S8"	3.98	3.8529	1.3316	1.2704	1.6284	0.936	"S variance"	0.0319	0.0482	-0.1271	0.1271	0.0612	0.0612	1.0482
"Latent State T 9 free S var 5 categ"	"Variances"	"S9"	3.78	3.7323	1.2818	1.2527	1.5699	0.933	"S variance"	0.0126	0.0232	-0.0477	0.0477	0.0291	0.0291	1.0232
"Latent State T 9 free S var 7 categ"	"S1.WITH"	"S2"	2.466	2.3375	0.7489	0.7219	0.5371	0.931	"S covariance"	0.0521	0.0374	-0.1285	0.1285	0.027	0.027	1.0374
"Latent State T 9 free S var 7 categ"	"S1.WITH"	"S3"	2.181	2.1231	0.7073	0.6845	0.4714	0.937	"S covariance"	0.0265	0.0333	-0.0579	0.0579	0.0228	0.0228	1.0333
"Latent State T 9 free S var 7 categ"	"S1.WITH"	"S4"	2.535	2.3823	0.7604	0.7406	0.5712	0.923	"S covariance"	0.0602	0.0267	-0.1527	0.1527	0.0198	0.0198	1.0267
"Latent State T 9 free S var 7 categ"	"S1.WITH"	"S5"	2.532	2.4642	0.7946	0.7697	0.5964	0.931	"S covariance"	0.0268	0.0324	-0.0678	0.0678	0.0249	0.0249	1.0324
"Latent State T 9 free S var 7 categ"	"S1.WITH"	"S6"	2.57	2.4579	0.7923	0.771	0.6065	0.943	"S covariance"	0.0436	0.0276	-0.1121	0.1121	0.0213	0.0213	1.0276
"Latent State T 9 free S var 7 categ"	"S1.WITH"	"S7"	2.77	2.6367	0.8448	0.8106	0.6742	0.94	"S covariance"	0.0481	0.0422	-0.1333	0.1333	0.0342	0.0342	1.0422
"Latent State T 9 free S var 7 categ"	"S1.WITH"	"S8"	3.011	2.7582	0.8722	0.8491	0.7842	0.925	"S covariance"	0.084	0.0272	-0.2528	0.2528	0.0231	0.0231	1.0272
"Latent State T 9 free S var 7 categ"	"S1.WITH"	"S9"	2.824	2.6759	0.8481	0.831	0.7118	0.929	"S covariance"	0.0524	0.0206	-0.1481	0.1481	0.0171	0.0171	1.0206
"Latent State T 9 free S var 7 categ"	"S2.WITH"	"S3"	2.66	2.5285	0.8021	0.773	0.6143	0.931	"S covariance"	0.0494	0.0376	-0.1315	0.1315	0.0291	0.0291	1.0376
"Latent State T 9 free S var 7 categ"	"S2.WITH"	"S4"	2.831	2.6927	0.84	0.817	0.686	0.925	"S covariance"	0.0489	0.0282	-0.1383	0.1383	0.023	0.023	1.0282
"Latent State T 9 free S var 7 categ"	"S2.WITH"	"S5"	3.059	2.8946	0.8993	0.8827	0.8054	0.916	"S covariance"	0.0537	0.0188	-0.1644	0.1644	0.0166	0.0166	1.0188
"Latent State T 9 free S var 7 categ"	"S2.WITH"	"S6"	2.982	2.8355	0.8853	0.8548	0.7514	0.93	"S covariance"	0.0491	0.0357	-0.1465	0.1465	0.0305	0.0305	1.0357
"Latent State T 9 free S var 7 categ"	"S2.WITH"	"S7"	3.165	3.0178	0.9405	0.9013	0.8332	0.931	"S covariance"	0.0465	0.0435	-0.1472	0.1472	0.0392	0.0392	1.0435
"Latent State T 9 free S var 7 categ"	"S2.WITH"	"S8"	3.146	3.001	0.9403	0.9051	0.8394	0.933	"S covariance"	0.0461	0.0389	-0.145	0.145	0.0352	0.0352	1.0389
"Latent State T 9 free S var 7 categ"	"S2.WITH"	"S9"	3.053	2.9654	0.9249	0.891	0.8008	0.931	"S covariance"	0.0287	0.038	-0.0876	0.0876	0.0339	0.0339	1.038
"Latent State T 9 free S var 7 categ"	"S3.WITH"	"S4"	2.676	2.5394	0.8077	0.7992	0.6567	0.929	"S covariance"	0.051	0.0106	-0.1366	0.1366	0.0085	0.0085	1.0106
"Latent State T 9 free S var 7 categ"	"S3.WITH"	"S5"	2.931	2.7672	0.8715	0.8585	0.7631	0.924	"S covariance"	0.0559	0.0151	-0.1638	0.1638	0.013	0.013	1.0151
"Latent State T 9 free S var 7 categ"	"S3.WITH"	"S6"	2.905	2.7268	0.8623	0.856	0.7638	0.925	"S covariance"	0.0613	0.0074	-0.1782	0.1782	0.0063	0.0063	1.0074
"Latent State T 9 free S var 7 categ"	"S3.WITH"	"S7"	3.15	2.9254	0.9206	0.8971	0.8545	0.916	"S covariance"	0.0713	0.0262	-0.2246	0.2246	0.0235	0.0235	1.0262
"Latent State T 9 free S var 7 categ"	"S3.WITH"	"S8"	2.934	2.8032	0.8992	0.885	0.7996	0.934	"S covariance"	0.0446	0.016	-0.1308	0.1308	0.0142	0.0142	1.016
"Latent State T 9 free S var 7 categ"	"S3.WITH"	"S9"	2.92	2.8133	0.8929	0.8758	0.7776	0.929	"S covariance"	0.0365	0.0195	-0.1067	0.1067	0.0171	0.0171	1.0195
"Latent State T 9 free S var 7 categ"	"S4.WITH"	"S5"	3.042	2.8992	0.9037	0.8956	0.8217	0.917	"S covariance"	0.0469	0.009	-0.1428	0.1428	0.0081	0.0081	1.009
"Latent State T 9 free S var 7 categ"	"S4.WITH"	"S6"	2.956	2.837	0.8891	0.8756	0.78	0.925	"S covariance"	0.0403	0.0154	-0.119	0.119	0.0135	0.0135	1.0154
"Latent State T 9 free S var 7 categ"	"S4.WITH"	"S7"	3.189	3.0451	0.9499	0.9296	0.884	0.939	"S covariance"	0.0451	0.0218	-0.1439	0.1439	0.0203	0.0203	1.0218
"Latent State T 9 free S var 7 categ"	"S4.WITH"	"S8"	3.191	3.0426	0.9522	0.9339	0.8934	0.939	"S covariance"	0.0465	0.0196	-0.1484	0.1484	0.0183	0.0183	1.0196
"Latent State T 9 free S var 7 categ"	"S4.WITH"	"S9"	3.092	2.9994	0.9354	0.914	0.8431	0.927	"S covariance"	0.0299	0.0234	-0.0926	0.0926	0.0214	0.0214	1.0234
"Latent State T 9 free S var 7 categ"	"S5.WITH"	"S6"	3.21	3.0659	0.9552	0.9402	0.9038	0.921	"S covariance"	0.0449	0.016	-0.1441	0.1441	0.015	0.015	1.016
"Latent State T 9 free S var 7 categ"	"S5.WITH"	"S7"	3.409	3.2694	1.0163	0.9951	1.0087	0.924	"S covariance"	0.041	0.0213	-0.1396	0.1396	0.0212	0.0212	1.0213
"Latent State T 9 free S var 7 categ"	"S5.WITH"	"S8"	3.304	3.1997	1.0042	0.9737	0.9581	0.936	"S covariance"	0.0316	0.0313	-0.1043	0.1043	0.0305	0.0305	1.0313
"Latent State T 9 free S var 7 categ"	"S5.WITH"	"S9"	3.241	3.1844	0.9931	0.98	0.9627	0.926	"S covariance"	0.0175	0.0134	-0.0566	0.0566	0.0131	0.0131	1.0134
"Latent State T 9 free S var 7 categ"	"S6.WITH"	"S7"	3.417	3.2387	1.0078	0.9758	0.983	0.938	"S covariance"	0.0522	0.0328	-0.1783	0.1783	0.032	0.032	1.0328
"Latent State T 9 free S var 7 categ"	"S6.WITH"	"S8"	3.402	3.2107	1.0055	0.985	1.006	0.937	"S covariance"	0.0562	0.0208	-0.1913	0.1913	0.0205	0.0205	1.0208
"Latent State T 9 free S var 7 categ"	"S6.WITH"	"S9"	3.374	3.2123	0.9984	0.9845	0.9944	0.93	"S covariance"	0.0479	0.0141	-0.1617	0.1617	0.0139	0.0139	1.0141
"Latent State T 9 free S var 7 categ"	"S7.WITH"	"S8"	3.599	3.4168	1.0687	1.037	1.1075	0.932	"S covariance"	0.0506	0.0306	-0.1822	0.1822	0.0317	0.0317	1.0306
"Latent State T 9 free S var 7 categ"	"S7.WITH"	"S9"	3.55	3.4096	1.0589	1.0358	1.0915	0.935	"S covariance"	0.0395	0.0223	-0.1404	0.1404	0.0231	0.0231	1.0223
"Latent State T 9 free S var 7 categ"	"S8.WITH"	"S9"	3.635	3.4397	1.0691	1.0508	1.1413	0.928	"S covariance"	0.0537	0.0174	-0.1953	0.1953	0.0183	0.0183	1.0174
"Latent State T 9 free S var 7 categ"	"Means"	"S2"	-0.249	-0.2338	0.2274	0.2228	0.0498	0.966	"mean"	0.061	0.0206	0.0152	0.0152	0.0046	0.0046	1.0206
"Latent State T 9 free S var 7 categ"	"Means"	"S3"	-0.28	-0.2651	0.2417	0.2573	0.0663	0.934	"mean"	0.0532	0.0606	0.0149	0.0149	0.0156	-0.0156	0.9394
"Latent State T 9 free S var 7 categ"	"Means"	"S4"	-0.083	-0.066	0.2257	0.2192	0.0483	0.955	"mean"	0.2048	0.0297	0.017	0.017	0.0065	0.0065	1.0297
"Latent State T 9 free S var 7 categ"	"Means"	"S5"	-0.255	-0.2321	0.2403	0.2482	0.0621	0.937	"mean"	0.0898	0.0318	0.0229	0.0229	0.0079	-0.0079	0.9682
"Latent State T 9 free S var 7 categ"	"Means"	"S6"	-0.283	-0.2629	0.2398	0.2481	0.0619	0.938	"mean"	0.071	0.0335	0.0201	0.0201	0.0083	-0.0083	0.9665
"Latent State T 9 free S var 7 categ"	"Means"	"S7"	0.175	0.1915	0.2455	0.2438	0.0597	0.948	"mean"	0.0943	0.007	0.0165	0.0165	0.0017	0.0017	1.007
"Latent State T 9 free S var 7 categ"	"Means"	"S8"	0.196	0.2028	0.2337	0.2228	0.0496	0.96	"mean"	0.0347	0.0489	0.0068	0.0068	0.0109	0.0109	1.0489
"Latent State T 9 free S var 7 categ"	"Means"	"S9"	-0.057	-0.0526	0.2356	0.234	0.0547	0.961	"mean"	0.0772	0.0068	0.0044	0.0044	0.0016	0.0016	1.0068
"Latent State T 9 free S var 7 categ"	"Thresholds"	"Y11$1"	-2.885	-2.8119	0.2853	0.2982	0.0942	0.922	"threshold"	0.0253	0.0433	0.0731	0.0731	0.0129	-0.0129	0.9567
"Latent State T 9 free S var 7 categ"	"Thresholds"	"Y11$2"	-1.642	-1.5734	0.2673	0.2753	0.0804	0.915	"threshold"	0.0418	0.0291	0.0686	0.0686	0.008	-0.008	0.9709
"Latent State T 9 free S var 7 categ"	"Thresholds"	"Y11$3"	-0.745	-0.696	0.2625	0.2675	0.0739	0.925	"threshold"	0.0658	0.0187	0.049	0.049	0.005	-0.005	0.9813
"Latent State T 9 free S var 7 categ"	"Thresholds"	"Y11$4"	0.472	0.4956	0.2621	0.2696	0.0732	0.929	"threshold"	0.05	0.0278	0.0236	0.0236	0.0075	-0.0075	0.9722
"Latent State T 9 free S var 7 categ"	"Thresholds"	"Y11$5"	1.334	1.3451	0.266	0.2714	0.0737	0.925	"threshold"	0.0083	0.0199	0.0111	0.0111	0.0054	-0.0054	0.9801
"Latent State T 9 free S var 7 categ"	"Thresholds"	"Y11$6"	1.529	1.5455	0.2676	0.2756	0.0761	0.924	"threshold"	0.0108	0.029	0.0165	0.0165	0.008	-0.008	0.971
"Latent State T 9 free S var 7 categ"	"Thresholds"	"Y21$1"	-2.885	-2.8119	0.2853	0.2982	0.0942	0.922	"threshold"	0.0253	0.0433	0.0731	0.0731	0.0129	-0.0129	0.9567
"Latent State T 9 free S var 7 categ"	"Thresholds"	"Y21$2"	-1.642	-1.5734	0.2673	0.2753	0.0804	0.915	"threshold"	0.0418	0.0291	0.0686	0.0686	0.008	-0.008	0.9709
"Latent State T 9 free S var 7 categ"	"Thresholds"	"Y21$3"	-0.745	-0.696	0.2625	0.2675	0.0739	0.925	"threshold"	0.0658	0.0187	0.049	0.049	0.005	-0.005	0.9813
"Latent State T 9 free S var 7 categ"	"Thresholds"	"Y21$4"	0.472	0.4956	0.2621	0.2696	0.0732	0.929	"threshold"	0.05	0.0278	0.0236	0.0236	0.0075	-0.0075	0.9722
"Latent State T 9 free S var 7 categ"	"Thresholds"	"Y21$5"	1.334	1.3451	0.266	0.2714	0.0737	0.925	"threshold"	0.0083	0.0199	0.0111	0.0111	0.0054	-0.0054	0.9801
"Latent State T 9 free S var 7 categ"	"Thresholds"	"Y21$6"	1.529	1.5455	0.2676	0.2756	0.0761	0.924	"threshold"	0.0108	0.029	0.0165	0.0165	0.008	-0.008	0.971
"Latent State T 9 free S var 7 categ"	"Thresholds"	"Y12$1"	-2.885	-2.8119	0.2853	0.2982	0.0942	0.922	"threshold"	0.0253	0.0433	0.0731	0.0731	0.0129	-0.0129	0.9567
"Latent State T 9 free S var 7 categ"	"Thresholds"	"Y12$2"	-1.642	-1.5734	0.2673	0.2753	0.0804	0.915	"threshold"	0.0418	0.0291	0.0686	0.0686	0.008	-0.008	0.9709
"Latent State T 9 free S var 7 categ"	"Thresholds"	"Y12$3"	-0.745	-0.696	0.2625	0.2675	0.0739	0.925	"threshold"	0.0658	0.0187	0.049	0.049	0.005	-0.005	0.9813
"Latent State T 9 free S var 7 categ"	"Thresholds"	"Y12$4"	0.472	0.4956	0.2621	0.2696	0.0732	0.929	"threshold"	0.05	0.0278	0.0236	0.0236	0.0075	-0.0075	0.9722
"Latent State T 9 free S var 7 categ"	"Thresholds"	"Y12$5"	1.334	1.3451	0.266	0.2714	0.0737	0.925	"threshold"	0.0083	0.0199	0.0111	0.0111	0.0054	-0.0054	0.9801
"Latent State T 9 free S var 7 categ"	"Thresholds"	"Y12$6"	1.529	1.5455	0.2676	0.2756	0.0761	0.924	"threshold"	0.0108	0.029	0.0165	0.0165	0.008	-0.008	0.971
