"SessionID","Configuration Name","Observer","DeviceID","Session Start Time","Session End Time","DateTime","Date","Time","Year","Month","Hour","Project Animals","Duration","Grid Size","Image Size","Notes","Channel Type","Focal Name","All Occurrence Value","All Occurrence Behavior Social Modifier","All Occurrence Comment","Question: Observer_22","Question: Enclosure_23"
"12","LAAC B-Chimps","Daniel Hanus","0033ded6-a9dd-4895-886b-c00f84eb341e","2020-08-21 12:19:59","2020-08-21 12:21:23","2020-08-21 12:20:01","2020-08-21","12:20:01","2020","8","12","Alex,Daza,Frederike,Hope,Jeudi,Zira","20.00","","600x600","","All Occurrence","Alex","Socializing","","","Paul","outdoors"
"12","LAAC B-Chimps","Daniel Hanus","0033ded6-a9dd-4895-886b-c00f84eb341e","2020-08-21 12:19:59","2020-08-21 12:21:23","2020-08-21 12:20:10","2020-08-21","12:20:10","2020","8","12","Alex,Daza,Frederike,Hope,Jeudi,Zira","20.00","","600x600","","All Occurrence","Daza","Socializing","Hope","","Paul","outdoors"
"12","LAAC B-Chimps","Daniel Hanus","0033ded6-a9dd-4895-886b-c00f84eb341e","2020-08-21 12:19:59","2020-08-21 12:21:23","2020-08-21 12:20:53","2020-08-21","12:20:53","2020","8","12","Alex,Daza,Frederike,Hope,Jeudi,Zira","20.00","","600x600","","All Occurrence","Frederike","Socializing","Jeudi","","Paul","outdoors"
"12","LAAC B-Chimps","Daniel Hanus","0033ded6-a9dd-4895-886b-c00f84eb341e","2020-08-21 12:19:59","2020-08-21 12:21:23","2020-08-21 12:21:00","2020-08-21","12:21:00","2020","8","12","Alex,Daza,Frederike,Hope,Jeudi,Zira","20.00","","600x600","","All Occurrence","Hope","Socializing","Daza","","Paul","outdoors"
"12","LAAC B-Chimps","Daniel Hanus","0033ded6-a9dd-4895-886b-c00f84eb341e","2020-08-21 12:19:59","2020-08-21 12:21:23","2020-08-21 12:21:09","2020-08-21","12:21:09","2020","8","12","Alex,Daza,Frederike,Hope,Jeudi,Zira","20.00","","600x600","","All Occurrence","Jeudi","Socializing","Frederike","","Paul","outdoors"
"19","LAAC B-Chimps","Daniel Hanus","ee21a853-65b4-450d-98bc-033d00df8429","2020-08-24 12:16:05","2020-08-24 12:17:18","2020-08-24 12:16:06","2020-08-24","12:16:06","2020","8","12","Alex,Daza,Frederike,Hope,Jeudi,Zira","20.00","","600x600","","All Occurrence","Daza","Socializing","","","Lara","outdoors"
"19","LAAC B-Chimps","Daniel Hanus","ee21a853-65b4-450d-98bc-033d00df8429","2020-08-24 12:16:05","2020-08-24 12:17:18","2020-08-24 12:16:11","2020-08-24","12:16:11","2020","8","12","Alex,Daza,Frederike,Hope,Jeudi,Zira","20.00","","600x600","","All Occurrence","Frederike","Socializing","","","Lara","outdoors"
"19","LAAC B-Chimps","Daniel Hanus","ee21a853-65b4-450d-98bc-033d00df8429","2020-08-24 12:16:05","2020-08-24 12:17:18","2020-08-24 12:16:17","2020-08-24","12:16:17","2020","8","12","Alex,Daza,Frederike,Hope,Jeudi,Zira","20.00","","600x600","","All Occurrence","Hope","Socializing","","","Lara","outdoors"
"19","LAAC B-Chimps","Daniel Hanus","ee21a853-65b4-450d-98bc-033d00df8429","2020-08-24 12:16:05","2020-08-24 12:17:18","2020-08-24 12:16:22","2020-08-24","12:16:22","2020","8","12","Alex,Daza,Frederike,Hope,Jeudi,Zira","20.00","","600x600","","All Occurrence","Jeudi","Socializing","","","Lara","outdoors"
"19","LAAC B-Chimps","Daniel Hanus","ee21a853-65b4-450d-98bc-033d00df8429","2020-08-24 12:16:05","2020-08-24 12:17:18","2020-08-24 12:17:09","2020-08-24","12:17:09","2020","8","12","Alex,Daza,Frederike,Hope,Jeudi,Zira","20.00","","600x600","","All Occurrence","Zira","Socializing","","","Lara","outdoors"
"19","LAAC B-Chimps","Daniel Hanus","ee21a853-65b4-450d-98bc-033d00df8429","2020-08-24 12:16:05","2020-08-24 12:17:18","2020-08-24 12:17:13","2020-08-24","12:17:13","2020","8","12","Alex,Daza,Frederike,Hope,Jeudi,Zira","20.00","","600x600","","All Occurrence","Alex","Socializing","","","Lara","outdoors"
"24","LAAC B-Chimps","Daniel Hanus","0033ded6-a9dd-4895-886b-c00f84eb341e","2020-08-25 13:21:33","2020-08-25 13:22:22","2020-08-25 13:21:35","2020-08-25","13:21:35","2020","8","13","Alex,Daza,Frederike,Hope,Jeudi,Zira","20.00","","600x600","","All Occurrence","Jeudi","Socializing","","","Paul","outdoors"
"24","LAAC B-Chimps","Daniel Hanus","0033ded6-a9dd-4895-886b-c00f84eb341e","2020-08-25 13:21:33","2020-08-25 13:22:22","2020-08-25 13:21:50","2020-08-25","13:21:50","2020","8","13","Alex,Daza,Frederike,Hope,Jeudi,Zira","20.00","","600x600","","All Occurrence","Hope","Socializing","Zira","","Paul","outdoors"
"24","LAAC B-Chimps","Daniel Hanus","0033ded6-a9dd-4895-886b-c00f84eb341e","2020-08-25 13:21:33","2020-08-25 13:22:22","2020-08-25 13:21:59","2020-08-25","13:21:59","2020","8","13","Alex,Daza,Frederike,Hope,Jeudi,Zira","20.00","","600x600","","All Occurrence","Zira","Socializing","Hope","","Paul","outdoors"
"24","LAAC B-Chimps","Daniel Hanus","0033ded6-a9dd-4895-886b-c00f84eb341e","2020-08-25 13:21:33","2020-08-25 13:22:22","2020-08-25 13:22:08","2020-08-25","13:22:08","2020","8","13","Alex,Daza,Frederike,Hope,Jeudi,Zira","20.00","","600x600","","All Occurrence","Frederike","Socializing","","","Paul","outdoors"
"24","LAAC B-Chimps","Daniel Hanus","0033ded6-a9dd-4895-886b-c00f84eb341e","2020-08-25 13:21:33","2020-08-25 13:22:22","2020-08-25 13:22:16","2020-08-25","13:22:16","2020","8","13","Alex,Daza,Frederike,Hope,Jeudi,Zira","20.00","","600x600","","All Occurrence","Daza","Socializing","","","Paul","outdoors"
"24","LAAC B-Chimps","Daniel Hanus","0033ded6-a9dd-4895-886b-c00f84eb341e","2020-08-25 13:21:33","2020-08-25 13:22:22","2020-08-25 13:22:19","2020-08-25","13:22:19","2020","8","13","Alex,Daza,Frederike,Hope,Jeudi,Zira","20.00","","600x600","","All Occurrence","Alex","Socializing","","","Paul","outdoors"
"28","LAAC B-Chimps","Daniel Hanus","0033ded6-a9dd-4895-886b-c00f84eb341e","2020-08-26 13:08:12","2020-08-26 13:08:48","2020-08-26 13:08:17","2020-08-26","13:08:17","2020","8","13","Alex,Daza,Frederike,Hope,Jeudi,Zira","20.00","","600x600","","All Occurrence","Alex","Socializing","Zira","","Lara","outdoors"
"28","LAAC B-Chimps","Daniel Hanus","0033ded6-a9dd-4895-886b-c00f84eb341e","2020-08-26 13:08:12","2020-08-26 13:08:48","2020-08-26 13:08:24","2020-08-26","13:08:24","2020","8","13","Alex,Daza,Frederike,Hope,Jeudi,Zira","20.00","","600x600","","All Occurrence","Daza","Socializing","","","Lara","outdoors"
"28","LAAC B-Chimps","Daniel Hanus","0033ded6-a9dd-4895-886b-c00f84eb341e","2020-08-26 13:08:12","2020-08-26 13:08:48","2020-08-26 13:08:29","2020-08-26","13:08:29","2020","8","13","Alex,Daza,Frederike,Hope,Jeudi,Zira","20.00","","600x600","","All Occurrence","Frederike","Socializing","","","Lara","outdoors"
"28","LAAC B-Chimps","Daniel Hanus","0033ded6-a9dd-4895-886b-c00f84eb341e","2020-08-26 13:08:12","2020-08-26 13:08:48","2020-08-26 13:08:35","2020-08-26","13:08:35","2020","8","13","Alex,Daza,Frederike,Hope,Jeudi,Zira","20.00","","600x600","","All Occurrence","Hope","Socializing","","","Lara","outdoors"
"28","LAAC B-Chimps","Daniel Hanus","0033ded6-a9dd-4895-886b-c00f84eb341e","2020-08-26 13:08:12","2020-08-26 13:08:48","2020-08-26 13:08:39","2020-08-26","13:08:39","2020","8","13","Alex,Daza,Frederike,Hope,Jeudi,Zira","20.00","","600x600","","All Occurrence","Jeudi","Socializing","","","Lara","outdoors"
"28","LAAC B-Chimps","Daniel Hanus","0033ded6-a9dd-4895-886b-c00f84eb341e","2020-08-26 13:08:12","2020-08-26 13:08:48","2020-08-26 13:08:43","2020-08-26","13:08:43","2020","8","13","Alex,Daza,Frederike,Hope,Jeudi,Zira","20.00","","600x600","","All Occurrence","Zira","Socializing","Alex","","Lara","outdoors"
"32","LAAC B-Chimps","Daniel Hanus","0033ded6-a9dd-4895-886b-c00f84eb341e","2020-08-27 13:44:11","2020-08-27 13:45:20","2020-08-27 13:44:16","2020-08-27","13:44:16","2020","8","13","Alex,Daza,Frederike,Hope,Jeudi,Zira","20.00","","600x600","","All Occurrence","Alex","Invisible","","","Hanna","outdoors"
"32","LAAC B-Chimps","Daniel Hanus","0033ded6-a9dd-4895-886b-c00f84eb341e","2020-08-27 13:44:11","2020-08-27 13:45:20","2020-08-27 13:44:33","2020-08-27","13:44:33","2020","8","13","Alex,Daza,Frederike,Hope,Jeudi,Zira","20.00","","600x600","","All Occurrence","Daza","Invisible","","","Hanna","outdoors"
"32","LAAC B-Chimps","Daniel Hanus","0033ded6-a9dd-4895-886b-c00f84eb341e","2020-08-27 13:44:11","2020-08-27 13:45:20","2020-08-27 13:44:41","2020-08-27","13:44:41","2020","8","13","Alex,Daza,Frederike,Hope,Jeudi,Zira","20.00","","600x600","","All Occurrence","Frederike","Socializing","","","Hanna","outdoors"
"32","LAAC B-Chimps","Daniel Hanus","0033ded6-a9dd-4895-886b-c00f84eb341e","2020-08-27 13:44:11","2020-08-27 13:45:20","2020-08-27 13:44:52","2020-08-27","13:44:52","2020","8","13","Alex,Daza,Frederike,Hope,Jeudi,Zira","20.00","","600x600","","All Occurrence","Hope","Socializing","","","Hanna","outdoors"
"32","LAAC B-Chimps","Daniel Hanus","0033ded6-a9dd-4895-886b-c00f84eb341e","2020-08-27 13:44:11","2020-08-27 13:45:20","2020-08-27 13:45:07","2020-08-27","13:45:07","2020","8","13","Alex,Daza,Frederike,Hope,Jeudi,Zira","20.00","","600x600","","All Occurrence","Jeudi","Invisible","","","Hanna","outdoors"
"32","LAAC B-Chimps","Daniel Hanus","0033ded6-a9dd-4895-886b-c00f84eb341e","2020-08-27 13:44:11","2020-08-27 13:45:20","2020-08-27 13:45:12","2020-08-27","13:45:12","2020","8","13","Alex,Daza,Frederike,Hope,Jeudi,Zira","20.00","","600x600","","All Occurrence","Zira","Invisible","","","Hanna","outdoors"
"39","LAAC B-Chimps","Daniel Hanus","0033ded6-a9dd-4895-886b-c00f84eb341e","2020-08-28 13:15:11","2020-08-28 13:16:27","2020-08-28 13:15:14","2020-08-28","13:15:14","2020","8","13","Alex,Daza,Frederike,Hope,Jeudi,Zira","20.00","","600x600","","All Occurrence","Jeudi","Socializing","","","Paul","outdoors"
"39","LAAC B-Chimps","Daniel Hanus","0033ded6-a9dd-4895-886b-c00f84eb341e","2020-08-28 13:15:11","2020-08-28 13:16:27","2020-08-28 13:15:20","2020-08-28","13:15:20","2020","8","13","Alex,Daza,Frederike,Hope,Jeudi,Zira","20.00","","600x600","","All Occurrence","Frederike","Socializing","","","Paul","outdoors"
"39","LAAC B-Chimps","Daniel Hanus","0033ded6-a9dd-4895-886b-c00f84eb341e","2020-08-28 13:15:11","2020-08-28 13:16:27","2020-08-28 13:15:58","2020-08-28","13:15:58","2020","8","13","Alex,Daza,Frederike,Hope,Jeudi,Zira","20.00","","600x600","","All Occurrence","Zira","Socializing","Hope","","Paul","outdoors"
"39","LAAC B-Chimps","Daniel Hanus","0033ded6-a9dd-4895-886b-c00f84eb341e","2020-08-28 13:15:11","2020-08-28 13:16:27","2020-08-28 13:16:05","2020-08-28","13:16:05","2020","8","13","Alex,Daza,Frederike,Hope,Jeudi,Zira","20.00","","600x600","","All Occurrence","Hope","Socializing","Zira","","Paul","outdoors"
