"SessionID","Configuration Name","Observer","DeviceID","Session Start Time","Session End Time","DateTime","Date","Time","Year","Month","Hour","Project Animals","Duration","Grid Size","Image Size","Notes","Channel Type","Focal Name","All Occurrence Value","All Occurrence Behavior Social Modifier","All Occurrence Comment","Question: Observer_24","Question: Enclosure_25"
"10","LAAC Bonobos","Daniel Hanus","0033ded6-a9dd-4895-886b-c00f84eb341e","2020-08-21 12:12:55","2020-08-21 12:15:25","2020-08-21 12:13:04","2020-08-21","12:13:04","2020","8","12","Amira,Jasongo,Joey,Kasai,Kuno,Lexi,Luiza,Tayo,Yaro,Yasa,Sumai,Hodari","20.00","","600x600","","All Occurrence","Amira","Socializing","Joey,Sumai","","Lara","outdoors"
"10","LAAC Bonobos","Daniel Hanus","0033ded6-a9dd-4895-886b-c00f84eb341e","2020-08-21 12:12:55","2020-08-21 12:15:25","2020-08-21 12:13:26","2020-08-21","12:13:26","2020","8","12","Amira,Jasongo,Joey,Kasai,Kuno,Lexi,Luiza,Tayo,Yaro,Yasa,Sumai,Hodari","20.00","","600x600","","All Occurrence","Joey","Socializing","Amira,Luiza","","Lara","outdoors"
"10","LAAC Bonobos","Daniel Hanus","0033ded6-a9dd-4895-886b-c00f84eb341e","2020-08-21 12:12:55","2020-08-21 12:15:25","2020-08-21 12:13:49","2020-08-21","12:13:49","2020","8","12","Amira,Jasongo,Joey,Kasai,Kuno,Lexi,Luiza,Tayo,Yaro,Yasa,Sumai,Hodari","20.00","","600x600","","All Occurrence","Kuno","Socializing","","","Lara","outdoors"
"10","LAAC Bonobos","Daniel Hanus","0033ded6-a9dd-4895-886b-c00f84eb341e","2020-08-21 12:12:55","2020-08-21 12:15:25","2020-08-21 12:13:57","2020-08-21","12:13:57","2020","8","12","Amira,Jasongo,Joey,Kasai,Kuno,Lexi,Luiza,Tayo,Yaro,Yasa,Sumai,Hodari","20.00","","600x600","","All Occurrence","Lexi","Socializing","Tayo","","Lara","outdoors"
"10","LAAC Bonobos","Daniel Hanus","0033ded6-a9dd-4895-886b-c00f84eb341e","2020-08-21 12:12:55","2020-08-21 12:15:25","2020-08-21 12:14:11","2020-08-21","12:14:11","2020","8","12","Amira,Jasongo,Joey,Kasai,Kuno,Lexi,Luiza,Tayo,Yaro,Yasa,Sumai,Hodari","20.00","","600x600","","All Occurrence","Luiza","Socializing","","","Lara","outdoors"
"10","LAAC Bonobos","Daniel Hanus","0033ded6-a9dd-4895-886b-c00f84eb341e","2020-08-21 12:12:55","2020-08-21 12:15:25","2020-08-21 12:14:19","2020-08-21","12:14:19","2020","8","12","Amira,Jasongo,Joey,Kasai,Kuno,Lexi,Luiza,Tayo,Yaro,Yasa,Sumai,Hodari","20.00","","600x600","","All Occurrence","Tayo","Socializing","Lexi","","Lara","outdoors"
"10","LAAC Bonobos","Daniel Hanus","0033ded6-a9dd-4895-886b-c00f84eb341e","2020-08-21 12:12:55","2020-08-21 12:15:25","2020-08-21 12:14:47","2020-08-21","12:14:47","2020","8","12","Amira,Jasongo,Joey,Kasai,Kuno,Lexi,Luiza,Tayo,Yaro,Yasa,Sumai,Hodari","20.00","","600x600","","All Occurrence","Yaro","Socializing","","","Lara","outdoors"
"10","LAAC Bonobos","Daniel Hanus","0033ded6-a9dd-4895-886b-c00f84eb341e","2020-08-21 12:12:55","2020-08-21 12:15:25","2020-08-21 12:15:17","2020-08-21","12:15:17","2020","8","12","Amira,Jasongo,Joey,Kasai,Kuno,Lexi,Luiza,Tayo,Yaro,Yasa,Sumai,Hodari","20.00","","600x600","","All Occurrence","Sumai","Socializing","Yaro","","Lara","outdoors"
"18","LAAC Bonobos","Daniel Hanus","ee21a853-65b4-450d-98bc-033d00df8429","2020-08-24 12:10:33","2020-08-24 12:12:59","2020-08-24 12:10:35","2020-08-24","12:10:35","2020","8","12","Amira,Jasongo,Joey,Kasai,Kuno,Lexi,Luiza,Tayo,Yaro,Yasa,Sumai,Hodari","20.00","","600x600","","All Occurrence","Amira","Socializing","Lexi,Yasa,Hodari","","Lara","outdoors"
"18","LAAC Bonobos","Daniel Hanus","ee21a853-65b4-450d-98bc-033d00df8429","2020-08-24 12:10:33","2020-08-24 12:12:59","2020-08-24 12:10:59","2020-08-24","12:10:59","2020","8","12","Amira,Jasongo,Joey,Kasai,Kuno,Lexi,Luiza,Tayo,Yaro,Yasa,Sumai,Hodari","20.00","","600x600","","All Occurrence","Jasongo","Socializing","","","Lara","outdoors"
