"SessionID","Configuration Name","Observer","DeviceID","Session Start Time","Session End Time","DateTime","Date","Time","Year","Month","Hour","Project Animals","Duration","Grid Size","Image Size","Notes","Channel Type","Focal Name","All Occurrence Value","All Occurrence Behavior Social Modifier","All Occurrence Comment","Question: Observer_16","Question: Enclosure_17"
"11","LAAC Orangutans","Daniel Hanus","0033ded6-a9dd-4895-886b-c00f84eb341e","2020-08-21 12:16:35","2020-08-21 12:18:11","2020-08-21 12:16:37","2020-08-21","12:16:37","2020","8","12","Bimbo,Dokana,Padana,Pini,Raja,Sari","20.00","","600x600","","All Occurrence","Bimbo","Socializing","","","Paul","outdoors"
"11","LAAC Orangutans","Daniel Hanus","0033ded6-a9dd-4895-886b-c00f84eb341e","2020-08-21 12:16:35","2020-08-21 12:18:11","2020-08-21 12:17:20","2020-08-21","12:17:20","2020","8","12","Bimbo,Dokana,Padana,Pini,Raja,Sari","20.00","","600x600","","All Occurrence","Dokana","Socializing","","","Paul","outdoors"
"20","LAAC Orangutans","Daniel Hanus","ee21a853-65b4-450d-98bc-033d00df8429","2020-08-24 12:13:51","2020-08-24 12:14:41","2020-08-24 12:13:57","2020-08-24","12:13:57","2020","8","12","Bimbo,Dokana,Padana,Pini,Raja,Sari","20.00","","600x600","","All Occurrence","Dokana","Socializing","","","Lara","outdoors"
"20","LAAC Orangutans","Daniel Hanus","ee21a853-65b4-450d-98bc-033d00df8429","2020-08-24 12:13:51","2020-08-24 12:14:41","2020-08-24 12:14:01","2020-08-24","12:14:01","2020","8","12","Bimbo,Dokana,Padana,Pini,Raja,Sari","20.00","","600x600","","All Occurrence","Padana","Socializing","","","Lara","outdoors"
"20","LAAC Orangutans","Daniel Hanus","ee21a853-65b4-450d-98bc-033d00df8429","2020-08-24 12:13:51","2020-08-24 12:14:41","2020-08-24 12:14:13","2020-08-24","12:14:13","2020","8","12","Bimbo,Dokana,Padana,Pini,Raja,Sari","20.00","","600x600","","All Occurrence","Pini","Socializing","","","Lara","outdoors"
"20","LAAC Orangutans","Daniel Hanus","ee21a853-65b4-450d-98bc-033d00df8429","2020-08-24 12:13:51","2020-08-24 12:14:41","2020-08-24 12:14:17","2020-08-24","12:14:17","2020","8","12","Bimbo,Dokana,Padana,Pini,Raja,Sari","20.00","","600x600","","All Occurrence","Bimbo","Socializing","","","Lara","outdoors"
"20","LAAC Orangutans","Daniel Hanus","ee21a853-65b4-450d-98bc-033d00df8429","2020-08-24 12:13:51","2020-08-24 12:14:41","2020-08-24 12:14:29","2020-08-24","12:14:29","2020","8","12","Bimbo,Dokana,Padana,Pini,Raja,Sari","20.00","","600x600","","All Occurrence","Raja","Socializing","","","Lara","outdoors"
"20","LAAC Orangutans","Daniel Hanus","ee21a853-65b4-450d-98bc-033d00df8429","2020-08-24 12:13:51","2020-08-24 12:14:41","2020-08-24 12:14:34","2020-08-24","12:14:34","2020","8","12","Bimbo,Dokana,Padana,Pini,Raja,Sari","20.00","","600x600","","All Occurrence","Sari","Socializing","","","Lara","outdoors"
"26","LAAC Orangutans","Daniel Hanus","0033ded6-a9dd-4895-886b-c00f84eb341e","2020-08-25 13:18:38","2020-08-25 13:21:07","2020-08-25 13:18:39","2020-08-25","13:18:39","2020","8","13","Bimbo,Dokana,Padana,Pini,Raja,Sari","20.00","","600x600","","All Occurrence","Pini","Socializing","","","Paul","outdoors"
"26","LAAC Orangutans","Daniel Hanus","0033ded6-a9dd-4895-886b-c00f84eb341e","2020-08-25 13:18:38","2020-08-25 13:21:07","2020-08-25 13:18:50","2020-08-25","13:18:50","2020","8","13","Bimbo,Dokana,Padana,Pini,Raja,Sari","20.00","","600x600","","All Occurrence","Dokana","Socializing","","","Paul","outdoors"
